"","Id","Country","Region","Happiness.Rank","Happiness.Score","Freedom","Trust in Government","Female","Male","Average Life Expectency","Research and Development","Homicides","GDP","Education","CO2"
"1","AFG","Afghanistan","Southern Asia",153,3.575,0.23414,0.09719,64.877,61.965,63.421,NA,10,4.3152119917963,3.2558,0.293946407
"2","AGO","Angola","Sub-Saharan Africa",137,4.033,0.10384,0.07122,62.237,56.737,59.487,NA,NA,6.85798099512757,NA,1.290306776
"3","ALB","Albania","Central and Eastern Europe",95,4.959,0.35733,0.06413,80.107,76.066,78.0865,NA,2.8,3.5093071219525,3.43797,1.978763312
"4","ARE","United Arab Emirates","Middle East and Northern Africa",20,6.901,0.64157,0.38583,78.678,76.605,77.6415,0.89504,0.7,8.48381577726426,NA,22.93960631
"5","ARG","Argentina","Latin America and Caribbean",30,6.574,0.44974,0.08484,79.434,72.614,76.024,0.61408,6.5,9.21674585819531,5.77611,4.781507775
"6","ARM","Armenia","Central and Eastern Europe",127,4.35,0.19847,0.039,77.708,70.921,74.3145,0.25002,2.6,3.39962744289597,2.80591,1.898719374
"7","ATA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","ATF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","AUS","Australia","Australia and New Zealand",10,7.284,0.65124,0.35637,84.5,80.4,82.45,1.92296,1,10.3987436919382,5.32175,15.38876602
"10","AUT","Austria","Western Europe",13,7.2,0.62433,0.18676,83.7,78.8,81.25,3.04771,0.5,8.57742882803575,5.45675,6.86986793
"11","AZE","Azerbaijan","Central and Eastern Europe",80,5.212,0.3703,0.16065,74.956,69.543,72.2495,0.22232,2.3,5.7299461023279,2.95168,3.931560609
"12","BDI","Burundi","Sub-Saharan Africa",157,2.905,0.1185,0.10062,61.893,58.325,60.109,NA,4.5,1.63431207023396,6.37054,0.044699992
"13","BEL","Belgium","Western Europe",19,6.937,0.5845,0.2254,83.4,78.7,81.05,2.46611,2,8.83289001416474,6.54091,8.328159898
"14","BEN","Benin","Sub-Saharan Africa",155,3.34,0.4845,0.0801,62.082,59.1,60.591,NA,NA,3.05157324376459,4.35643,0.61420609
"15","BFA","Burkina Faso","Sub-Saharan Africa",152,3.587,0.39493,0.12832,60.525,59.183,59.854,NA,0.6,3.38118697191723,4.16607,0.162018438
"16","BGD","Bangladesh","Southern Asia",109,4.694,0.4082,0.12569,73.316,69.978,71.647,NA,2.5,7.60733031374961,NA,0.47365761
"17","BGR","Bulgaria","Central and Eastern Europe",134,4.218,0.30587,0.00872,78.2,71.2,74.7,0.96019,1.8,5.64965324726365,NA,5.871615869
"18","BHS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","BIH","Bosnia and Herzegovina","Central and Eastern Europe",96,4.949,0.09245,0.00227,79.292,74.376,76.834,0.21862,1.6,4.01894935121834,NA,6.384938819
"20","BLR","Belarus","Central and Eastern Europe",59,5.813,0.37938,0.1909,78.9,68.6,73.75,0.49999,NA,5.81902266799662,4.78752,6.701957705
"21","BLZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","BMU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","BOL","Bolivia","Latin America and Caribbean",51,5.89,0.57414,0.088,73.105,67.6,70.3525,NA,6.3,5.0444027870005,NA,1.90636432
"24","BRA","Brazil","Latin America and Caribbean",16,6.983,0.49049,0.17521,78.698,71.345,75.0215,1.34264,28.4,10.813781191217,6.24106,2.612933521
"25","BRN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","BTN","Bhutan","Southern Asia",79,5.253,0.53206,0.15445,70.668,70.164,70.416,NA,1.5,1.04251121113379,7.38966,1.392229534
"27","BWA","Botswana","Sub-Saharan Africa",128,4.332,0.49495,0.12474,70.013,64.458,67.2355,NA,NA,3.85005970792229,NA,3.367451334
"28","CAF","Central African Republic","Sub-Saharan Africa",148,3.678,0.48879,0.08289,52.793,48.985,50.889,NA,NA,0.773339081829429,NA,0.067357126
